care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,moral,moral_nonmoral_ratio,f_var
0.08333333333333333,0.0,0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.25,0.029556650246305417,0.013040123456790119
0.0,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.030864197530864196,0.03511111111111112
0.041666666666666664,0.125,0.2916666666666667,0.16666666666666666,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.05811138014527845,0.01197916666666667
0.03225806451612903,0.0,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.7096774193548387,0.03225806451612903,0.03225806451612903,0.0,0.0,0.06451612903225806,0.07093821510297482,0.04727714186611169
0.05263157894736842,0.3157894736842105,0.0,0.3157894736842105,0.0,0.15789473684210525,0.0,0.05263157894736842,0.05263157894736842,0.0,0.15789473684210525,0.06643356643356643,0.01588180978762696
0.16666666666666666,0.2777777777777778,0.2777777777777778,0.05555555555555555,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.03015075376884422,0.011522633744855968
0.05263157894736842,0.0,0.5789473684210527,0.10526315789473684,0.0,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.04773869346733668,0.032902431517389974
0.06666666666666667,0.0,0.13333333333333333,0.2,0.0,0.5333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0528169014084507,0.027901234567901237
0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.014644351464435146,0.01927437641723356
0.0,0.07407407407407407,0.5185185185185185,0.18518518518518517,0.0,0.07407407407407407,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0380818053596615,0.024706599603718946
0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.0,0.23529411764705882,0.048295454545454544,0.006958861976163014
0.0625,0.0,0.3125,0.3125,0.0,0.0625,0.0,0.0,0.0,0.0,0.3125,0.03970223325062035,0.016319444444444442
0.17777777777777778,0.0,0.1111111111111111,0.4,0.0,0.1111111111111111,0.0,0.1111111111111111,0.022222222222222223,0.0,0.1111111111111111,0.07992895204262877,0.015780521262002745
0.4666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.4,0.0,0.0,0.0,0.0,0.06666666666666667,0.04491017964071856,0.030814814814814812
0.05405405405405406,0.08108108108108109,0.1891891891891892,0.35135135135135137,0.0,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.0,0.24324324324324326,0.09002433090024331,0.0124097070043016
0.25,0.0,0.15,0.45,0.0,0.0,0.0,0.05,0.05,0.0,0.25,0.05390835579514825,0.02247222222222222
0.2,0.0,0.13333333333333333,0.4,0.0,0.13333333333333333,0.0,0.1,0.0,0.0,0.06666666666666667,0.10101010101010101,0.01690123456790123
0.16666666666666666,0.08333333333333333,0.041666666666666664,0.4166666666666667,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.20833333333333334,0.04088586030664395,0.016203703703703706
